1_434,299,845,772
2_896,725,956,847
0_740,289,784,345
1_395,840,822,845
0_955,224,996,953
1_710,186,957,722
1_485,949,869,985
0_848,209,975,376
2_221,241,906,384
0_588,49,927,496
0_273,332,735,725
0_505,962,895,962
2_820,112,923,143
0_919,792,978,982
2_489,461,910,737
1_202,642,638,940
1_708,953,970,960
2_437,291,546,381
0_409,358,837,479
1_756,279,870,943
1_154,657,375,703
1_524,622,995,779
2_514,221,651,850
2_808,464,886,646
2_483,537,739,840
2_654,769,831,825
1_326,37,631,69
1_590,570,926,656
1_881,913,911,998
0_996,102,998,616
1_677,503,828,563
0_860,251,877,441
1_964,100,982,377
2_888,403,961,597
1_632,240,938,968
2_731,176,932,413
0_5,498,203,835
0_819,352,929,855
2_393,813,832,816
2_725,689,967,888
0_968,950,969,983
1_152,628,582,896
1_165,844,459,935
1_882,741,974,786
1_283,179,731,899
2_197,366,682,445
0_106,309,120,813
2_950,387,967,782
1_274,603,383,759
1_155,665,284,787
2_551,871,860,962
1_30,826,598,892
2_76,552,977,888
0_938,180,994,997
2_62,381,993,656
2_625,861,921,941
0_685,311,872,521
0_124,934,530,962
0_606,379,961,867
1_792,735,946,783
0_417,480,860,598
2_178,91,481,887
1_23,935,833,962
2_317,14,793,425
0_986,89,999,613
1_359,201,560,554
1_729,494,942,626
0_204,143,876,610
2_474,97,636,542
1_902,924,976,973
1_389,442,824,638
1_622,863,798,863
0_840,622,978,920
2_567,374,925,439
1_643,319,935,662
2_185,42,294,810
0_47,124,598,880
2_828,303,979,770
1_174,272,280,311
1_540,50,880,212
0_141,994,221,998
0_476,695,483,901
0_960,216,972,502
2_752,335,957,733
1_419,713,537,998
2_772,846,994,888
0_881,159,902,312
1_537,651,641,816
2_561,947,638,965
0_368,458,437,612
0_290,149,705,919
0_711,918,974,945
2_916,242,926,786
2_522,272,773,314
0_432,897,440,954
1_132,169,775,380
2_52,205,693,747
2_926,309,976,669
1_838,342,938,444
0_144,431,260,951
2_780,318,975,495
1_185,412,796,541
0_879,548,892,860
0_294,132,460,338
0_823,500,899,529
1_225,603,483,920
2_717,493,930,875
2_534,948,599,968
0_522,730,968,950
1_102,229,674,529
